Dimension;Transcription
Accept and Confirm;a queue of cars, right
Accept and Confirm;alright
Accept and Confirm;alright.
Accept and Confirm;alright. okay
Accept and Confirm;alright.1
Accept and Confirm;i believe we can.
Accept and Confirm;it seems like it
Accept and Confirm;it's distributed, okay.
Accept and Confirm;oh, right
Accept and Confirm;okay
Accept and Confirm;okay 
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay 
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay
Accept and Confirm;okay so 
Accept and Confirm;okay,
Accept and Confirm;okay, alright
Accept and Confirm;okay, i like that.
Accept and Confirm;okay, yeah.
Accept and Confirm;okay.
Accept and Confirm;okay.
Accept and Confirm;okay.
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right 
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right
Accept and Confirm;right,
Accept and Confirm;right,
Accept and Confirm;right, and then figure out
Accept and Confirm;right, right
Accept and Confirm;right, yeah
Accept and Confirm;right.
Accept and Confirm;right.
Accept and Confirm;right.
Accept and Confirm;right.
Accept and Confirm;right.
Accept and Confirm;right.
Accept and Confirm;right. exactly.
Accept and Confirm;right. okay
Accept and Confirm;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because i don't think, i'm trying to
Accept and Confirm;so they can build on.
Accept and Confirm;so, controller -ê okay
Accept and Confirm;sure. sure, so let's establish
Accept and Confirm;that's right.
Accept and Confirm;that's true.
Accept and Confirm;well, that could be, maybe the cop -
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah 
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah
Accept and Confirm;yeah and also
Accept and Confirm;yeah okay
Accept and Confirm;yeah sure
Accept and Confirm;yeah there could be two
Accept and Confirm;yeah,
Accept and Confirm;yeah, 
Accept and Confirm;yeah,
Accept and Confirm;yeah,
Accept and Confirm;yeah,
Accept and Confirm;yeah,
Accept and Confirm;yeah,
Accept and Confirm;yeah,
Accept and Confirm;yeah,
Accept and Confirm;yeah,
Accept and Confirm;yeah, exactly. 
Accept and Confirm;yeah, it's a little messy
Accept and Confirm;yeah, it's a lot of rules, right.
Accept and Confirm;yeah, right, right
Accept and Confirm;yeah, right. right
Accept and Confirm;yeah, that makes sense
Accept and Confirm;yeah, that's right.
Accept and Confirm;yeah, yeah
Accept and Confirm;yeah.
Accept and Confirm;yeah.
Accept and Confirm;yeah. 
Accept and Confirm;yeah.
