Dimension;Transcription
Conversation Management;a queue of cars, right
Conversation Management;alright
Conversation Management;alright.
Conversation Management;alright. okay
Conversation Management;alright.1
Conversation Management;i believe we can.
Conversation Management;it seems like it
Conversation Management;it's distributed, okay.
Conversation Management;oh, right
Conversation Management;okay
Conversation Management;okay so
Conversation Management;okay,
Conversation Management;okay, alright
Conversation Management;okay, i like that.
Conversation Management;okay, yeah.
Conversation Management;okay.
Conversation Management;right
Conversation Management;right,
Conversation Management;right, and then figure out
Conversation Management;right, right
Conversation Management;right, yeah
Conversation Management;right.
Conversation Management;right. exactly.
Conversation Management;right. okay
Conversation Management;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because i don't think, i'm trying to
Conversation Management;so they can build on.
Conversation Management;so, controller -ê okay
Conversation Management;sure. sure, so let's establish
Conversation Management;that's right.
Conversation Management;that's true.
Conversation Management;well, that could be, maybe the cop -
Conversation Management;yeah
Conversation Management;yeah and also
Conversation Management;yeah okay
Conversation Management;yeah sure
Conversation Management;yeah there could be two
Conversation Management;yeah,
Conversation Management;yeah, exactly.
Conversation Management;yeah, it's a little messy
Conversation Management;yeah, it's a lot of rules, right.
Conversation Management;yeah, right, right
Conversation Management;yeah, right. right
Conversation Management;yeah, that makes sense
Conversation Management;yeah, that's right.
Conversation Management;yeah, yeah
Conversation Management;yeah.
Conversation Management;you're right, so let's write it
Conversation Management;blocks
Conversation Management;exactly
Conversation Management;exactly,
Conversation Management;exactly, exactly
Conversation Management;exactly, exactly.
Conversation Management;furthermore, like more details.
Conversation Management;i got it, yeah.
Conversation Management;i know,
Conversation Management;i understand
Conversation Management;lets assume this
Conversation Management;no, no
Conversation Management;oh yes
Conversation Management;right, righ
Conversation Management;so i guess roads, intersections
Conversation Management;so i guess you would say that
Conversation Management;that's true
Conversation Management;there's intersections, and streets,
Conversation Management;these are the patterns
Conversation Management;this is a real?time table
Conversation Management;we could do it like that
Conversation Management;ya
Conversation Management;yeah, everyone has a light
Conversation Management;yeah, that's probably enough
Conversation Management;yeah, they're there
Conversation Management;yeah, well...
Conversation Management;yeah, yeah.
Conversation Management;yes
Conversation Management;you go ahead.
Conversation Management;absolutely, yeah
Conversation Management;exactly, so
Conversation Management;exactly, yeah
Conversation Management;exactly, yes,
Conversation Management;gotcha. okay, makes sense
Conversation Management;let's talk about that.
Conversation Management;okay, cool
Conversation Management;okay, cool.
Conversation Management;okay, so
Conversation Management;okay, yeah well that makes sense
Conversation Management;perfect okay
Conversation Management;put this signal here
Conversation Management;right, we don't care
Conversation Management;sensor, and
Conversation Management;well it'sÇ-its going to be significant
Conversation Management;well there's a speed component, yes
Conversation Management;whoever starts using it, yeah.
Conversation Management;yeah exactly.
Conversation Management;yeah i think you're right
Conversation Management;yeah i'm trying to get
Conversation Management;yeah we can do
Conversation Management;yeah, makes sense.
Conversation Management;yeah, that works.
Conversation Management;yeah, that's it
Conversation Management;yeah. i'm pretty sure
Conversation Management;yeah. okay cool
Conversation Management;yep.
Conversation Management;yes, exactly
Conversation Management;endpoint is okay
Conversation Management;fair enough.
Conversation Management;itís alright.
Conversation Management;no
Conversation Management;no itís not
Conversation Management;okay. now i can see something
Conversation Management;so far itís okay.
Conversation Management;sure
Conversation Management;sure,
Conversation Management;sure.
Conversation Management;sure. sure.
Conversation Management;thatís fine
Conversation Management;yea
Conversation Management;yea, yes.
Conversation Management;yes i Creative Conflict
